funding_ask,team_size,founder_experience_years,industry_sector,location_tier,monthly_revenue,revenue_growth_pct,company_age_months,prior_funding_rounds,has_validation,referral_channel_score,approved
48420000.0,11,17,Fintech,Tier-3 City,115835.0,13.4,57,0,True,0.741,0
35950000.0,13,19,SaaS,Tier-2 City,192111.0,-10.9,5,2,False,0.338,1
40720000.0,3,17,E-commerce,Metro,430025.0,0.5,66,3,False,0.266,0
39770000.0,4,14,EdTech,Tier-2 City,60658.0,-4.5,25,0,False,0.216,0
36920000.0,1,8,EdTech,Metro,120935.0,21.2,83,0,True,0.171,0
37700000.0,7,4,Consumer Goods,Tier-3 City,18035.0,11.3,3,0,True,0.267,0
46510000.0,7,18,Fintech,Tier-2 City,40762.0,25.6,35,1,False,0.203,0
45750000.0,1,10,SaaS,Metro,49027.0,-8.5,1,0,False,0.382,0
19270000.0,10,9,HealthTech,Metro,336.0,3.8,61,2,True,0.607,1
2030000.0,1,7,Fintech,Tier-3 City,113126.0,20.5,46,0,True,0.296,0
2410000.0,12,4,E-commerce,Metro,26988.0,25.2,51,0,True,0.746,1
22610000.0,10,7,Consumer Goods,Tier-3 City,91455.0,-20.9,67,0,False,0.199,0
41830000.0,12,15,SaaS,Tier-3 City,302910.0,14.4,86,2,True,0.463,1
42460000.0,2,11,SaaS,Tier-2 City,60264.0,-8.3,37,0,False,0.284,0
20520000.0,13,7,SaaS,Metro,1016.0,26.2,55,2,True,0.604,1
15430000.0,8,2,SaaS,Tier-2 City,109298.0,45.2,60,2,True,0.716,1
25580000.0,13,8,E-commerce,Tier-3 City,227288.0,-44.2,84,1,True,0.836,1
41710000.0,10,4,Fintech,Metro,382035.0,-5.1,19,0,False,0.908,0
32010000.0,10,7,Consumer Goods,Metro,20289.0,13.3,50,2,False,0.599,0
7420000.0,1,2,EdTech,Metro,329756.0,7.9,80,1,False,0.658,0
18430000.0,10,18,E-commerce,Metro,336358.0,26.8,27,2,True,0.488,1
27990000.0,7,3,EdTech,Tier-2 City,189315.0,9.6,35,3,True,0.658,1
27140000.0,12,2,HealthTech,Tier-2 City,119795.0,-2.6,43,0,True,0.733,1
41620000.0,10,13,Consumer Goods,Tier-2 City,153785.0,-12.4,68,3,True,0.367,0
46640000.0,2,6,SaaS,Metro,21134.0,-15.8,64,0,True,0.517,0
5470000.0,13,19,E-commerce,Metro,459386.0,-6.9,13,2,True,0.161,1
11610000.0,1,8,EdTech,Metro,321986.0,-3.3,20,0,False,0.401,0
19910000.0,5,13,SaaS,Tier-3 City,97279.0,15.7,78,0,True,0.123,0
15170000.0,4,16,E-commerce,Tier-2 City,40043.0,4.9,64,1,False,0.0,0
20710000.0,14,19,EdTech,Metro,875662.0,-5.0,50,2,True,0.578,1
2520000.0,3,16,EdTech,Tier-3 City,112944.0,-12.2,40,1,True,0.08,0
3770000.0,12,11,HealthTech,Metro,162330.0,-6.1,93,1,True,0.652,1
42000000.0,4,16,Fintech,Metro,556973.0,-3.3,84,0,True,0.709,0
5580000.0,10,5,E-commerce,Metro,25152.0,-7.0,39,2,True,0.477,1
41290000.0,2,17,Consumer Goods,Tier-3 City,108504.0,21.5,34,1,False,0.023,0
15670000.0,6,17,Fintech,Tier-2 City,175601.0,35.4,83,3,True,0.812,1
15810000.0,9,7,Consumer Goods,Tier-2 City,78843.0,-15.5,33,1,True,0.31,0
5490000.0,10,1,SaaS,Metro,122591.0,30.4,40,2,False,0.653,0
1160000.0,13,13,HealthTech,Metro,264155.0,21.9,88,3,True,0.453,1
18090000.0,12,2,E-commerce,Tier-2 City,9577.0,11.6,11,3,False,0.379,1
41850000.0,8,0,Fintech,Metro,28248.0,38.5,67,1,False,0.941,0
46040000.0,5,18,SaaS,Tier-3 City,103739.0,4.6,66,0,True,0.575,0
3550000.0,4,11,SaaS,Tier-3 City,249251.0,16.0,37,1,True,0.242,0
2030000.0,14,13,EdTech,Tier-2 City,49263.0,10.5,18,1,False,0.382,1
8360000.0,9,17,Fintech,Tier-2 City,74633.0,9.0,82,1,True,0.518,1
38430000.0,13,18,Consumer Goods,Tier-3 City,201348.0,17.2,76,0,True,0.232,0
10640000.0,7,19,EdTech,Tier-2 City,45976.0,8.9,82,1,True,0.124,0
11930000.0,7,2,Consumer Goods,Tier-2 City,326876.0,17.3,32,0,True,0.271,1
44500000.0,12,6,SaaS,Tier-3 City,197094.0,-5.4,92,3,False,0.62,0
43810000.0,11,15,SaaS,Metro,112811.0,-4.8,72,0,False,0.447,0
33680000.0,3,0,SaaS,Tier-3 City,97546.0,-5.5,23,3,False,0.354,0
8620000.0,8,4,HealthTech,Metro,73579.0,0.7,46,3,True,0.554,1
19370000.0,3,10,EdTech,Tier-2 City,79156.0,28.3,31,3,False,0.506,0
12190000.0,11,6,EdTech,Tier-3 City,258641.0,-1.2,52,1,False,0.291,0
33760000.0,1,3,EdTech,Tier-2 City,3155.0,21.0,18,3,False,0.182,0
39110000.0,12,17,Fintech,Tier-2 City,159451.0,13.3,70,3,False,0.588,0
7540000.0,14,8,E-commerce,Tier-2 City,434907.0,-0.8,44,3,False,0.236,0
44950000.0,1,8,Fintech,Metro,385561.0,34.2,64,3,True,0.734,0
23410000.0,9,13,SaaS,Metro,123231.0,22.7,61,1,False,0.534,0
39850000.0,2,13,SaaS,Metro,26027.0,8.0,64,2,False,0.463,0
3060000.0,6,9,Consumer Goods,Tier-2 City,37746.0,6.4,73,0,True,0.51,1
18350000.0,5,17,SaaS,Tier-2 City,101668.0,9.9,63,3,True,0.675,1
1230000.0,8,5,EdTech,Metro,42207.0,-22.6,49,1,True,0.157,1
36060000.0,13,17,Consumer Goods,Tier-3 City,21836.0,-8.5,56,1,False,0.467,0
4430000.0,7,17,EdTech,Metro,16448.0,17.3,60,1,False,0.479,0
17250000.0,6,0,HealthTech,Tier-2 City,101238.0,-23.7,77,3,False,0.418,0
39200000.0,2,15,Consumer Goods,Tier-2 City,303892.0,-7.0,46,0,False,0.28,0
37570000.0,13,3,EdTech,Metro,114207.0,0.1,29,2,True,0.218,0
32190000.0,5,9,Fintech,Tier-2 City,144444.0,66.1,24,1,False,0.899,0
34850000.0,7,18,EdTech,Tier-2 City,6079.0,21.5,18,2,True,0.468,1
32740000.0,2,3,SaaS,Metro,73600.0,29.9,58,2,False,0.298,0
32240000.0,5,11,HealthTech,Tier-3 City,54585.0,-8.1,70,2,True,0.345,0
17810000.0,8,15,EdTech,Tier-3 City,179622.0,15.2,31,0,False,0.049,0
1890000.0,13,9,Fintech,Tier-2 City,13560.0,-27.2,52,3,True,0.699,1
22370000.0,5,1,SaaS,Tier-3 City,180002.0,1.4,36,3,False,0.314,0
2750000.0,8,1,EdTech,Tier-3 City,31628.0,18.1,86,3,True,0.117,0
23710000.0,13,10,HealthTech,Metro,10479.0,-20.4,87,1,True,0.808,1
23470000.0,6,0,HealthTech,Tier-2 City,86842.0,15.9,92,0,False,0.73,0
9350000.0,5,0,E-commerce,Tier-2 City,105120.0,17.5,82,2,True,0.301,1
39320000.0,1,19,SaaS,Metro,184315.0,-4.1,83,0,True,0.384,0
35360000.0,13,10,Consumer Goods,Metro,5725.0,-8.7,53,2,True,0.527,1
28200000.0,2,9,EdTech,Metro,163289.0,-6.3,53,1,True,0.36,0
46330000.0,4,2,Fintech,Tier-2 City,86295.0,1.1,29,0,True,0.426,0
14720000.0,2,15,SaaS,Tier-3 City,578024.0,1.7,72,3,True,0.238,0
13470000.0,10,10,E-commerce,Tier-3 City,222926.0,18.2,31,2,True,0.292,0
9580000.0,6,4,SaaS,Metro,280322.0,-2.7,32,0,True,0.558,1
27450000.0,10,15,Fintech,Metro,482493.0,40.0,90,3,True,0.775,1
10670000.0,9,4,HealthTech,Tier-2 City,215237.0,39.9,2,2,False,0.583,1
43510000.0,1,10,SaaS,Tier-2 City,46902.0,12.7,12,1,True,0.101,0
15560000.0,5,11,SaaS,Tier-3 City,328901.0,1.1,75,1,True,0.52,1
24800000.0,1,5,EdTech,Tier-3 City,325734.0,-2.7,66,1,False,0.251,0
26710000.0,1,17,SaaS,Tier-3 City,117346.0,14.3,75,3,True,0.8,1
